Subjective measures,Addiction,Duration,Value
Level of interest,Addicted,Medium,3.2058566968078166
Level of interest,Addicted,Medium,5.844560745096867
Level of interest,Addicted,Medium,4.076946779282987
Level of interest,Addicted,Medium,4.226741953505258
Level of interest,Addicted,Medium,3.951957769766131
Level of interest,Addicted,Medium,3.4299347643281024
Level of interest,Addicted,Medium,4.995060544681825
Level of interest,Addicted,Medium,4.666567801635084
Level of interest,Addicted,Medium,5.080110817296053
Level of interest,Addicted,Medium,4.906545116044911
Level of interest,Addicted,Medium,1.3713520000148165
Level of interest,Addicted,Medium,4.106932789331304
Level of interest,Addicted,Medium,4.075899801720939
Level of interest,Addicted,Medium,4.670950501760727
Level of interest,Addicted,Medium,4.914964980061337
Level of interest,Addicted,Medium,4.047230431225186
Level of interest,Addicted,Medium,6.445737257615006
Level of interest,Addicted,Medium,7.422735554312035
Level of interest,Addicted,Medium,4.43736565306074
Level of interest,Addicted,Medium,4.919620394594292
Level of interest,Addicted,Medium,6.128461359689007
Level of interest,Addicted,Medium,2.896910058171266
Level of interest,Addicted,Medium,3.5554561707543244
Level of interest,Addicted,Medium,5.287906231968885
Level of interest,Addicted,Medium,3.1919786857816685
Level of interest,Addicted,Medium,6.493920612178626
Level of interest,Addicted,Medium,1.2916121750273875
Level of interest,Addicted,Medium,7.068052744307121
Level of interest,Addicted,Medium,7.220888210111241
Level of interest,Addicted,Medium,5.041207470422387
Level of interest,Addicted,Medium,3.819129505430862
Level of interest,Addicted,Medium,4.792385992430942
Level of interest,Addicted,Medium,6.5716972775201015
Level of interest,Addicted,Medium,4.537039552683971
Level of interest,Addicted,Medium,4.564772094816958
Level of interest,Addicted,Medium,4.006313294461891
Level of interest,Addicted,Medium,4.35725462031009
Level of interest,Addicted,Medium,4.893295330849487
Level of interest,Addicted,Medium,5.2550190876431255
Level of interest,Addicted,Medium,5.722411605897783
Level of interest,Addicted,Medium,5.483072744072245
Level of interest,Addicted,Medium,6.082054105756249
Level of interest,Addicted,Medium,5.212372249153267
Level of interest,Addicted,Medium,4.278443506634888
Level of interest,Addicted,Medium,5.4801145754203695
Level of interest,Addicted,Medium,4.818769388053774
Level of interest,Addicted,Medium,5.598591446042547
Level of interest,Addicted,Medium,3.774617276627392
Level of interest,Addicted,Medium,5.278878734555595
Level of interest,Addicted,Medium,5.230185928783628
Level of interest,Addicted,Medium,4.332739991449858
Level of interest,Addicted,Medium,3.544599089935134
Level of interest,Addicted,Medium,5.335163902920106
Level of interest,Addicted,Medium,4.5879095205882265
Level of interest,Addicted,Medium,4.597654433112302
Level of interest,Addicted,Medium,5.684023737410284
Level of interest,Addicted,Medium,7.051583790053406
Level of interest,Addicted,Medium,5.275953945031525
Level of interest,Addicted,Medium,5.267266837212182
Level of interest,Addicted,Medium,4.873092742962233
Level of interest,Addicted,Medium,2.5821216881386304
Level of interest,Addicted,Medium,7.24525666676657
Level of interest,Addicted,Medium,4.569333412156819
Level of interest,Addicted,Medium,5.359893386183133
Level of interest,Addicted,Medium,5.892330749768594
Level of interest,Addicted,Medium,3.72750536031381
Level of interest,Addicted,Medium,5.852560813159475
Level of interest,Addicted,Medium,6.2281176105014655
Level of interest,Addicted,Long,3.951280958823777
Level of interest,Addicted,Long,6.187726931164084
Level of interest,Addicted,Long,4.708858122568407
Level of interest,Addicted,Long,3.88995168440884
Level of interest,Addicted,Long,3.2752777392488395
Level of interest,Addicted,Long,3.292469815969615
Level of interest,Addicted,Long,3.4648519084947793
Level of interest,Addicted,Long,3.008524426286728
Level of interest,Addicted,Long,1.6593972729438984
Level of interest,Addicted,Long,6.799769925468056
Level of interest,Addicted,Long,3.705936169875749
Level of interest,Addicted,Long,1.665280991673992
Level of interest,Addicted,Long,6.714345787273867
Level of interest,Addicted,Long,2.1675176440358923
Level of interest,Addicted,Long,4.993118271779592
Level of interest,Addicted,Long,5.45876656780085
Level of interest,Addicted,Long,4.53139893484967
Level of interest,Addicted,Long,4.689470462968291
Level of interest,Addicted,Long,5.254663091218116
Level of interest,Addicted,Long,2.404913766360996
Level of interest,Addicted,Long,3.1788605938356294
Level of interest,Addicted,Long,2.919445015338717
Level of interest,Addicted,Long,3.8844012861288357
Level of interest,Addicted,Long,3.531676326150478
Level of interest,Addicted,Long,5.193404143641289
Level of interest,Addicted,Long,4.1330215483830965
Level of interest,Addicted,Long,3.2046893899856124
Level of interest,Addicted,Long,6.215040096863877
Level of interest,Addicted,Long,5.822201437919409
Level of interest,Addicted,Long,2.9068382321166366
Level of interest,Addicted,Long,5.103085055005304
Level of interest,Addicted,Long,3.5647517139006317
Level of interest,Addicted,Long,4.055314180885498
Level of interest,Addicted,Long,4.6801905582995165
Level of interest,Addicted,Long,3.853818271564846
Level of interest,Addicted,Long,3.5560493894785994
Level of interest,Addicted,Long,5.666916127257409
Level of interest,Addicted,Long,4.172114990239058
Level of interest,Addicted,Long,4.033350856423254
Level of interest,Addicted,Long,3.091246628832614
Level of interest,Addicted,Long,4.107804277877341
Level of interest,Addicted,Long,2.9870085410625684
Level of interest,Addicted,Long,4.673987385916563
Level of interest,Addicted,Long,1.1661897195625848
Level of interest,Addicted,Long,2.5365229999359986
Level of interest,Addicted,Long,2.790376987089889
Level of interest,Addicted,Long,4.387000987604957
Level of interest,Addicted,Long,5.30768293807899
Level of interest,Addicted,Long,3.3727078207235137
Level of interest,Addicted,Long,4.9094645430681565
Level of interest,Addicted,Long,4.415237278127147
Level of interest,Addicted,Long,4.363068185667301
Level of interest,Addicted,Long,6.099889753304122
Level of interest,Addicted,Long,4.42676664157381
Level of interest,Addicted,Long,2.871134371955858
Level of interest,Addicted,Long,3.6075292332630156
Level of interest,Addicted,Long,2.405741234541556
Level of interest,Addicted,Long,6.543253417922932
Level of interest,Addicted,Long,2.672938629053773
Level of interest,Addicted,Long,4.809576311221514
Level of interest,Addicted,Long,2.3193795594866224
Level of interest,Addicted,Long,6.348915518394027
Level of interest,Addicted,Long,5.827671291142961
Level of interest,Addicted,Long,3.170784720533937
Level of interest,Addicted,Long,3.4087086298986424
Level of interest,Addicted,Long,3.5131692858500077
Level of interest,Addicted,Long,4.8543167573874
Level of interest,Addicted,Long,5.927363980265856
Level of interest,Addicted,Long,5.043519800195468
Level of interest,Addicted,Long,3.23222114218892
Level of interest,Addicted,Long,4.306541762722738
Level of interest,Addicted,Long,4.51458266923374
Level of interest,Addicted,Long,5.421500065425506
Level of interest,Addicted,Long,5.457898407959252
Level of interest,Addicted,Long,3.598815629158568
Level of interest,Addicted,Long,3.620168645440203
Level of interest,Addicted,Long,4.677824041030805
Level of interest,Addicted,Long,3.4765614735079704
Level of interest,Addicted,Long,4.992369657171419
Level of interest,Addicted,Long,2.6070318246791793
Level of interest,Addicted,Long,3.837014786287943
Level of interest,Addicted,Long,3.4741841356568024
Level of interest,Addicted,Long,6.39838689958788
Level of interest,Addicted,Long,6.391132134234381
Level of interest,Addicted,Long,3.5316336354204116
Level of interest,Addicted,Long,3.9816366701294035
Level of interest,Addicted,Long,5.093960327849859
Level of interest,Addicted,Long,1.1089084944592371
Level of interest,Addicted,Long,4.303876630412035
Level of interest,Addicted,Long,4.47376216729471
Level of interest,Addicted,Long,3.913907980706965
Level of interest,Addicted,Long,5.963008702987777
Level of interest,Addicted,Long,6.387600468685259
Level of interest,Addicted,Long,6.2001490399245505
Level of interest,Addicted,Long,4.751437493197471
Level of interest,Addicted,Long,4.2498126576668325
Level of interest,Addicted,Long,8.472257366935365
Level of interest,Addicted,Long,7.287125634866306
Level of interest,Addicted,Long,4.614095032111868
Level of interest,Addicted,Long,4.696739622129998
Non-addicted,4.545,Short,0.5022470712964724
Non-addicted,4.545,Short,1.1956062692825098
Non-addicted,4.545,Short,8.110188691342234
Non-addicted,4.545,Short,4.612293054727739
Non-addicted,4.545,Short,3.0094396484789954
Non-addicted,4.545,Short,1.2148403352633061
Non-addicted,4.545,Short,-7.769696317155258
Non-addicted,4.545,Short,3.273500748840141
Non-addicted,4.545,Short,0.9709388620619117
Non-addicted,4.545,Short,0.6799930372261602
Non-addicted,4.545,Short,-1.749856392668873
Non-addicted,4.545,Short,0.9702992253192121
Non-addicted,4.545,Short,-0.6987615973717836
Non-addicted,4.545,Short,0.3529317365181244
Non-addicted,4.545,Short,-2.5156782000614744
Non-addicted,4.545,Short,-3.694208300603133
Non-addicted,4.545,Short,2.9807590564215944
Non-addicted,4.545,Short,3.9996422466848616
Non-addicted,4.545,Short,1.7459518759035944
Non-addicted,4.545,Short,5.448276845346912
Non-addicted,4.545,Short,6.493792695372372
Non-addicted,4.545,Short,-7.05345482243175
Non-addicted,4.545,Short,-3.3920365955127902
Non-addicted,4.545,Short,7.467976814897959
Non-addicted,4.545,Short,12.00575457602654
Non-addicted,4.545,Short,-2.99976112193002
Non-addicted,4.545,Short,7.811156477410388
Non-addicted,4.545,Short,6.209360293719386
Non-addicted,4.545,Short,-5.004230110507129
Non-addicted,4.545,Short,2.156015353212645
Non-addicted,4.545,Short,-6.177377688883815
Non-addicted,4.545,Short,0.24187539354034016
Non-addicted,4.545,Short,2.873833737769667
Non-addicted,4.545,Short,2.0627321288098615
Non-addicted,4.545,Short,-5.852172219432083
Non-addicted,4.545,Short,2.0808158163475863
Non-addicted,4.545,Short,0.664519643258618
Non-addicted,4.545,Short,11.25032870468587
Non-addicted,4.545,Short,-0.3965152139483539
Non-addicted,4.545,Short,2.724243820525312
Non-addicted,4.545,Short,4.13391327889009
Non-addicted,4.545,Short,2.014149785416408
Non-addicted,4.545,Short,-5.38235533170507
Non-addicted,4.545,Short,-6.579106479572262
Non-addicted,4.545,Short,-3.774557251792875
Non-addicted,4.545,Short,12.009484918481203
Non-addicted,4.545,Short,-3.2167377685165297
Non-addicted,4.545,Short,0.26257172874811996
Non-addicted,4.545,Short,1.2045887292393953
Non-addicted,4.545,Short,0.9632618653290432
Non-addicted,4.545,Short,9.516624941309571
Non-addicted,4.545,Short,3.28738167389111
Non-addicted,4.545,Short,7.556166153619018
Non-addicted,4.545,Short,-1.8252489824133595
Non-addicted,4.545,Short,3.084952175669776
Non-addicted,4.545,Short,10.642209357470017
Non-addicted,4.545,Short,1.4794989766744087
Non-addicted,4.545,Short,-1.0562928999342887
Non-addicted,4.545,Short,-7.892100644143605
Non-addicted,4.545,Short,-0.1300142540444924
Non-addicted,4.545,Short,6.434683783256828
Non-addicted,4.545,Short,1.0828601486131024
Non-addicted,4.545,Short,0.8647274019075907
Non-addicted,4.545,Short,-5.384687460901002
Non-addicted,4.545,Short,-2.067658343083253
Non-addicted,4.545,Short,10.916399687938195
Non-addicted,4.545,Short,-3.3146695417496046
Non-addicted,4.545,Short,-2.690720525656827
Non-addicted,4.545,Short,3.2718566925523715
Non-addicted,4.545,Short,-0.2598049162379672
Non-addicted,4.545,Short,6.356336515985008
Non-addicted,4.545,Short,5.595193541992369
Non-addicted,4.545,Short,9.325565928265053
Non-addicted,4.545,Short,2.459674386257092
Non-addicted,4.545,Short,0.605028812407951
Non-addicted,4.545,Short,4.638191193555178
Non-addicted,4.545,Short,4.340860629258324
Non-addicted,4.545,Short,9.076380593815115
Non-addicted,4.545,Short,4.23133450239323
Non-addicted,4.545,Short,3.8992854379618294
Non-addicted,4.545,Short,5.392695247669258
Non-addicted,4.545,Short,3.945590381392708
Non-addicted,4.545,Short,-1.2149947030740524
Non-addicted,4.545,Short,0.973564260128529
Non-addicted,4.545,Short,0.2521629918469508
Non-addicted,4.545,Short,-2.8224420823813228
Non-addicted,4.545,Short,6.807902754094018
Non-addicted,4.545,Short,6.10229513217867
Non-addicted,4.545,Short,-3.5921166965495566
Non-addicted,4.545,Short,1.6701426176897178
Non-addicted,4.545,Short,2.2964745840570373
Non-addicted,4.545,Short,4.385162532209244
Non-addicted,4.545,Short,2.731120499106015
Non-addicted,4.545,Short,-8.118696869601994
Non-addicted,4.545,Short,6.888756366407667
Non-addicted,4.545,Short,-1.9599853829735412
Non-addicted,4.545,Short,4.524436217322145
Non-addicted,4.545,Short,12.679618181056277
Non-addicted,4.545,Short,-1.1694706306325802
Non-addicted,4.545,Short,-7.172877904109729
Non-addicted,4.545,Medium,1.566507500557265
Non-addicted,4.545,Medium,5.641948375649557
Non-addicted,4.545,Medium,2.292594746663526
Non-addicted,4.545,Medium,3.8776400747751523
Non-addicted,4.545,Medium,-1.0072896591686895
Non-addicted,4.545,Medium,-2.273032484700413
Non-addicted,4.545,Medium,2.08349801411905
Non-addicted,4.545,Medium,-4.253369611444785
Non-addicted,4.545,Medium,8.21537955809939
Non-addicted,4.545,Medium,1.5240479170056493
Non-addicted,4.545,Medium,-3.3550808619867523
Non-addicted,4.545,Medium,2.98906218645015
Non-addicted,4.545,Medium,1.857418880009995
Non-addicted,4.545,Medium,-6.372177931047633
Non-addicted,4.545,Medium,1.802628708357593
Non-addicted,4.545,Medium,7.507287260455279
Non-addicted,4.545,Medium,5.210834463649255
Non-addicted,4.545,Medium,3.984181480200186
Non-addicted,4.545,Medium,-3.4404007655053164
Non-addicted,4.545,Medium,-4.356240107652948
Non-addicted,4.545,Medium,-0.23465194678729318
Non-addicted,4.545,Medium,1.7669536558827748
Non-addicted,4.545,Medium,6.687923091263036
Non-addicted,4.545,Medium,1.5933312115651304
Non-addicted,4.545,Medium,2.7264153643568125
Non-addicted,4.545,Medium,6.11929076527583
Non-addicted,4.545,Medium,7.298775077238508
Non-addicted,4.545,Medium,1.178325460590095
Non-addicted,4.545,Medium,5.776289895558619
Non-addicted,4.545,Medium,4.590570057422166
Non-addicted,4.545,Medium,4.574639838354191
Non-addicted,4.545,Medium,15.122587276584298
Non-addicted,4.545,Medium,6.773077487636975
Non-addicted,4.545,Medium,-4.6993528236687485
Non-addicted,4.545,Medium,-10.386243524374619
Non-addicted,4.545,Medium,5.787653560524884
Non-addicted,4.545,Medium,-0.5304276474975682
Non-addicted,4.545,Medium,7.261392323267156
Non-addicted,4.545,Medium,8.868416500207257
Non-addicted,4.545,Medium,3.2841834815783484
Non-addicted,4.545,Medium,2.214746803277848
Non-addicted,4.545,Medium,4.683932951584133
Non-addicted,4.545,Medium,-0.9809891528811843
Non-addicted,4.545,Medium,4.074678443659883
Non-addicted,4.545,Medium,5.176575408695154
Non-addicted,4.545,Medium,4.161469830383659
Non-addicted,4.545,Medium,1.2596281488557317
Non-addicted,4.545,Medium,-0.35343253704114064
Non-addicted,4.545,Medium,2.5570251160370194
Non-addicted,4.545,Medium,-3.406026425448572
Non-addicted,4.545,Medium,0.8713955744119019
Non-addicted,4.545,Medium,1.0348844406266158
Non-addicted,4.545,Medium,-3.9540273548665414
Non-addicted,4.545,Medium,-0.5552419547633813
Non-addicted,4.545,Medium,-0.9576946930495795
Non-addicted,4.545,Medium,2.4807932849034353
Non-addicted,4.545,Medium,-2.073111753748557
Non-addicted,4.545,Medium,6.108074413617597
Non-addicted,4.545,Medium,-2.4151857702949466
Non-addicted,4.545,Medium,0.8072443618353602
Non-addicted,4.545,Medium,7.451625309743356
Non-addicted,4.545,Medium,4.820527540752385
Non-addicted,4.545,Medium,-2.155587652743758
Non-addicted,4.545,Medium,9.119510483418344
Non-addicted,4.545,Medium,-1.2083147465792434
Non-addicted,4.545,Medium,2.901216683169224
Non-addicted,4.545,Medium,-3.4192894439393298
Non-addicted,4.545,Medium,6.952749986642336
Non-addicted,4.545,Medium,1.43617041974396
Non-addicted,4.545,Medium,4.370935226957604
Non-addicted,4.545,Medium,-2.840937438713281
Non-addicted,4.545,Medium,6.370092279584887
Non-addicted,4.545,Medium,2.0582815378160677
Non-addicted,4.545,Medium,-1.3003397991406116
Non-addicted,4.545,Medium,2.6569285216175444
Non-addicted,4.545,Medium,1.4028268792204222
Non-addicted,4.545,Medium,-0.708541690657535
Non-addicted,4.545,Medium,5.311076038123062
Non-addicted,4.545,Medium,5.891880259192321
Non-addicted,4.545,Medium,1.0058869660604455
Non-addicted,4.545,Medium,6.28276161575186
Non-addicted,4.545,Medium,1.6168851339245913
Non-addicted,4.545,Medium,-2.3593462393895916
Non-addicted,4.545,Medium,-4.508355692012138
Non-addicted,4.545,Medium,6.24848609492968
Non-addicted,4.545,Medium,0.9060730305390019
Non-addicted,4.545,Medium,15.143674501091114
Non-addicted,4.545,Medium,0.6588185916917704
Non-addicted,4.545,Medium,2.9451101928054637
Non-addicted,4.545,Medium,-2.3798617127099
Non-addicted,4.545,Medium,0.728073735062884
Non-addicted,4.545,Medium,-6.750173150586962
Non-addicted,4.545,Medium,0.8758278035748452
Non-addicted,4.545,Medium,6.662619012138121
Non-addicted,4.545,Medium,3.411886853199208
Non-addicted,4.545,Medium,3.8436225438151688
Non-addicted,4.545,Medium,5.504306042793108
Non-addicted,4.545,Medium,9.665797228343674
Non-addicted,4.545,Medium,-5.460857858717344
Non-addicted,4.545,Medium,4.391787965859027
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Non-addicted,4.545,Long,
Level of concentration,Addicted,Short,3.5726486683736787
Level of concentration,Addicted,Short,5.184773959591303
Level of concentration,Addicted,Short,3.2836276042858867
Level of concentration,Addicted,Short,5.466690223508416
Level of concentration,Addicted,Short,5.495863879759491
Level of concentration,Addicted,Short,4.1250338465213785
Level of concentration,Addicted,Short,6.411496817961334
Level of concentration,Addicted,Short,5.114643939693861
Level of concentration,Addicted,Short,4.242612840721683
Level of concentration,Addicted,Short,4.736565978630237
Level of concentration,Addicted,Short,3.3945596489566974
Level of concentration,Addicted,Short,4.970223422589977
Level of concentration,Addicted,Short,6.852973656426996
Level of concentration,Addicted,Short,4.716349799134219
Level of concentration,Addicted,Short,3.611564258515524
Level of concentration,Addicted,Short,6.890328687857224
Level of concentration,Addicted,Short,5.167744313073429
Level of concentration,Addicted,Short,6.375625535095631
Level of concentration,Addicted,Short,3.5881964343169246
Level of concentration,Addicted,Short,3.1008656048704237
Level of concentration,Addicted,Short,5.854591469594367
Level of concentration,Addicted,Short,5.726219819699136
Level of concentration,Addicted,Short,5.50426448124153
Level of concentration,Addicted,Short,6.257308937182737
Level of concentration,Addicted,Short,4.870187857726519
Level of concentration,Addicted,Short,6.543765768060454
Level of concentration,Addicted,Short,4.62009899936755
Level of concentration,Addicted,Short,7.1056172102485675
Level of concentration,Addicted,Short,4.5674612519543984
Level of concentration,Addicted,Short,6.228354942775543
Level of concentration,Addicted,Short,5.760331002179464
Level of concentration,Addicted,Short,3.005822577718175
Level of concentration,Addicted,Short,6.565657053274962
Level of concentration,Addicted,Short,4.609087133206768
Level of concentration,Addicted,Short,6.004628362216548
Level of concentration,Addicted,Short,5.033112333997876
Level of concentration,Addicted,Short,3.3599818310131053
Level of concentration,Addicted,Short,3.2719145210173624
Level of concentration,Addicted,Short,4.674421995495308
Level of concentration,Addicted,Short,5.596684561998617
Level of concentration,Addicted,Short,2.8710791865972056
Level of concentration,Addicted,Short,6.56049858029077
Level of concentration,Addicted,Short,4.802273844009836
Level of concentration,Addicted,Short,3.065322704123002
Level of concentration,Addicted,Short,2.400802495870918
